D1,Warning
D2,Warning
D3,Malicious
D4,Warning
D5,Spam
D6,Malicious
D7,Warning
D8,Warning
D9,Warning
D10,Warning
D11,Malicious
D12,Warning
D13,Warning
D14,Malicious
D15,Warning
D16,Malicious
D17,Warning
D18,Warning
D19,Malicious
D20,Warning
D21,Malicious
D22,Warning
D23,Malicious
D24,Warning
D25,Warning
D26,Warning
D27,Warning
D28,Malicious
D29,Malicious
D30,Malicious
D31,Warning
D32,Warning
D33,Malicious
D34,Warning
D35,Warning
D36,Warning
D37,Warning
D38,Malicious
D39,Warning
D40,Warning
D41,Malicious
D42,Malicious
D43,Warning
D44,Malicious
D45,Malicious
D46,Warning
D47,Warning
D48,Warning
D49,Malicious
D50,Warning
D51,Spam
D52,Warning
D53,Warning
D54,Malicious
D55,Malicious
D56,Warning
D57,Malicious
D58,Warning
D59,Malicious
D60,Malicious
D61,Malicious
D62,Malicious
D63,Malicious
D64,Malicious
D65,Malicious
D66,Warning
D67,Malicious
D68,Warning
D69,Malicious
D70,Malicious
D71,Malicious
D72,Warning
D73,Warning
D74,Warning
D75,Malicious
D76,Warning
D77,Malicious
D78,Malicious
D79,Warning
D80,Warning
D81,Malicious
D82,Malicious
D83,Malicious
D84,Warning
D85,Malicious
D86,Warning
D87,Warning
D88,Warning
D89,Warning
D90,Malicious
D91,Malicious
D92,Warning
D93,Warning
D94,Warning
D95,Warning
D96,Warning
D97,Malicious
D98,Malicious
D99,Malicious
D100,Malicious